batch_number,global_electric_energy_lhv_consumption,process_energy_gas_lhv_consumption,process_energy_heatpump_lhv_consumption,process_energy_cogeneration_lhv_consumption,global_thermal_energy_lhv_consumption,created_at,updated_at,deleted_at
C23C1166,53.735,107.4146679,135.2337023,316.7281673,559.3765375,,,
C23C1167,48.74557401812689,49.24848943,138.1413897,287.0090634,474.3989426,,,
C23C1168,52.568536771437294,50.37610619,139.5324992,350.9307293,540.8393348,,,
C23C1169,49.133355754857995,74.3529148,121.161136,269.058296,464.5723468,,,
C23C1170,49.76780680437424,70.23663426,125.7736938,297.691373,493.7017011,,,
C23C1171,49.85435866983373,75.28948931,131.2030879,299.8812352,506.3738124,,,
C23C1172,48.40298059429957,35.9331413,135.9102486,266.8283808,438.6717708,,,
C23C1173,46.14387713109935,23.03042328,164.8148148,311.5814227,499.4266608,,,
C23C1174,47.654187289948055,40.35013749,145.6553621,287.198289,473.2037886,,,
C23C1175,47.57506632499246,48.92613808,133.4805547,313.536328,495.9430208,,,
C23C1176,55.47536979969183,50.01171032,126.8067797,320.4930663,497.3115562,,,
C23C1177,48.612443609022556,94.53518797,128.2887218,312.7819549,535.6058647,,,
C23C1178,44.14898836853382,63.26584022,129.8686869,250.9947964,444.1293235,,,
C23C1179,46.85364913329348,50.38897191,141.0543933,307.8302451,499.2736103,,,
C23C1180,47.734395405078594,36.04353083,165.7605804,302.2974607,504.1015719,,,
C23C1181,47.07810189359784,41.21956718,126.0631199,306.5825068,473.8651939,,,
C23C1182,47.77591877091573,44.52357773,114.3090964,264.6790386,423.5117128,,,
C23C1183,45.699555052790345,73.30859729,83.65791855,298.6425339,455.6090498,,,
C23C1184,48.47554462934947,91.72511346,92.3827534,332.8290469,516.9369138,,,
C23C1185,50.206168437025795,107.1122914,102.3050076,315.629742,525.047041,,,
C23C1186,51.83321153253161,91.14893617,148.3487512,323.7742831,563.2719704,,,
C23C1187,47.87931486880466,49.99985423,117.0425656,268.2215743,435.2639942,,,
C23C1188,50.8024687785562,22.47806884,152.5056351,274.1395065,449.1232105,,,
C23C1189,48.641194163192374,81.64726027,118.2156045,300.7742704,500.6371352,,,
C23C1190,48.02158536585366,39.94847561,140.7731707,274.3902439,455.1118902,,,
C23C1191,45.40829796640141,104.2015915,114.1043324,318.3023873,536.6083112,,,
C23C1192,49.50170644391408,55.94928401,137.7756563,286.3961814,480.1211217,,,
C23C1193,46.06309285924184,120.9578313,74.24272701,299.7355275,494.9360858,,,
C23C1194,49.46381615172836,46.16182319,163.0113184,305.9039462,515.0770878,,,
C23C1195,47.12103818615752,52.15140215,149.8329356,295.3460621,497.3303998,,,
C23C1196,53.10486734049273,75.41835123,150.4456728,315.8559697,541.7199937,,,
C23C1197,51.31078149668456,99.90511525,137.6896116,309.4411115,547.0358383,,,
C23C1198,49.31574534161491,46.575,152.5431677,298.136646,497.2548137,,,
C23C1199,48.053590704647675,83.45172414,126.6038981,293.8530735,503.9086957,,,
C23C1200,50.73375466998755,108.9134496,81.73163138,311.3325031,501.9775841,,,
C23C1201,48.247947907256844,94.18157182,132.2655827,310.1475459,536.5947004,,,
C23C1202,49.37834260117393,51.12650602,137.0021625,299.6601792,487.7888477,,,
C23C1203,36.18449494949495,80.56149733,131.751634,317.8847296,530.197861,,,
C23C1204,52.01620136943666,53.1512605,117.0756303,320.5726735,490.7995643,,,
C23C1205,57.25227733095026,191.2453083,54.31039619,342.5677688,588.1234733,,,
C23C1206,52.079318895166345,59.87146893,152.8123038,276.2084118,488.8921846,,,
C23C1207,47.306535022354694,115.4387481,137.5081967,301.0432191,553.9901639,,,
C23C1208,48.7021669793621,109.0666041,84.31926204,297.0606629,490.4465291,,,
C23C1209,47.48574449076831,138.2979452,60.56879095,303.7522335,502.6189696,,,
C23C1210,50.08725505443235,93.13390358,74.06780715,314.1524106,481.3541213,,,
C23C1211,47.460126225126224,109.7093852,71.9002079,305.9103059,487.519899,,,
C23C1212,50.3270245398773,109.7544479,69.4803681,337.4233129,516.6581288,,,
C23C1213,44.405517695232525,89.2721556,55.40216438,277.8590231,422.5333431,,,
C23C1214,49.52185258964143,58.71238124,82.27520686,309.5311063,450.5186945,,,
C23C1215,46.15005565319274,91.13093146,62.22026948,301.6988869,455.0500879,,,
C23C1216,50.598076923076924,36.68676923,111.6110769,295.3846154,443.6824615,,,
C23C1217,43.7006332260895,100.0489909,81.29628546000001,312.957005,494.3022814,,,
C23C1218,47.67780895430849,48.56025759,106.08249,285.1885925,439.8313401,,,
C23C1219,49.97387240356083,117.6275964,64.23738872,314.5400593,496.4050445,,,
C23C1220,49.24484312519225,41.9603199,97.54167948,282.9898493,422.4918487,,,
C23C1221,47.3137215152412,95.0766499,88.06510802,319.6211897,502.7629476,,,
C23C1222,51.37156114214773,74.68575419,118.5077592,297.9515829,491.1450962,,,
C23C1223,47.75906417112299,99.47192513,69.17557932,314.9138443,483.5613488,,,
C23C1224,50.048028499843404,79.31866583,95.10366427,281.8665832,456.2889132,,,
C23C1225,48.03701541197392,123.1018079,63.7480735,346.7694132,533.6192946,,,
C23C1226,49.77119981030667,50.58836548,124.0746127,294.0246601,468.6876383,,,
C23C1227,48.527353823088454,105.6724138,133.4050975,230.8845577,469.962069,,,
C23C1228,49.956590909090906,148.0951705,120.9782197,277.7777778,546.8511679,,,
C23C1229,45.92389550461447,197.7869902,190.8288181,205.4182792,594.0340875,,,
C23C1230,50.8561646837821,91.54273638,71.67939887,303.6944271,466.9165623,,,
C23C1231,47.07443744506299,121.7861119,65.111046,313.5071784,500.4043364,,,
